rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
20.0,7.0,30.0,20.0,assets/reward_mean100.jpg,12.42,10.0,12.92,assets/grating_mean100.jpg,13.92,25.77,39.79
30.0,14.0,30.0,24.0,assets/reward_mean100.jpg,16.24,11.0,17.56,assets/grating_mean100.jpg,18.57,53.1,63.34
18.0,11.0,31.0,29.0,assets/punish_mean100.jpg,22.95,28.0,28.49,assets/grating_mean100.jpg,29.51,,74.89
32.0,7.0,30.0,26.0,assets/reward_mean100.jpg,36.27,14.0,41.19,assets/grating_mean100.jpg,42.21,,105.77
29.0,13.0,28.0,26.0,assets/punish_mean100.jpg,50.19,29.0,55.34,assets/grating_mean100.jpg,56.36,,131.02
26.0,9.0,31.0,30.0,assets/reward_mean100.jpg,60.58,11.0,63.97,assets/grating_mean100.jpg,64.99,,167.35
26.0,11.0,34.0,30.0,assets/reward_mean100.jpg,72.14,11.0,77.37,assets/grating_mean100.jpg,78.39,,
23.0,13.0,29.0,35.0,assets/punish_mean100.jpg,91.96,33.0,94.82,assets/grating_mean100.jpg,95.84,,
24.0,9.0,28.0,30.0,assets/reward_mean100.jpg,103.01,11.0,108.24,assets/grating_mean100.jpg,109.26,,
30.0,10.0,29.0,29.0,assets/punish_mean100.jpg,117.91,28.0,120.07,assets/grating_mean100.jpg,121.09,,
35.0,11.0,27.0,24.0,assets/reward_mean100.jpg,128.51,10.0,132.34,assets/grating_mean100.jpg,133.34,,
29.0,13.0,29.0,21.0,assets/punish_mean100.jpg,137.11,28.0,139.34,assets/grating_mean100.jpg,140.36,,
22.0,14.0,29.0,38.0,assets/punish_mean100.jpg,147.66,28.0,149.74,assets/grating_mean100.jpg,150.74,,
22.0,9.0,27.0,29.0,assets/punish_mean100.jpg,158.02,35.0,160.42,assets/grating_mean100.jpg,161.44,,
24.0,11.0,26.0,27.0,assets/reward_mean100.jpg,165.34,8.0,169.02,assets/grating_mean100.jpg,170.04,,
26.0,11.0,32.0,25.0,,,,,,,,
22.0,9.0,30.0,,,,,,,,,
28.0,14.0,26.0,,,,,,,,,
41.0,9.0,31.0,,,,,,,,,
18.0,8.0,29.0,,,,,,,,,
29.0,8.0,30.0,,,,,,,,,
30.0,11.0,35.0,,,,,,,,,
24.0,9.0,31.0,,,,,,,,,
24.0,7.0,32.0,,,,,,,,,
24.0,8.0,28.0,,,,,,,,,
28.0,14.0,32.0,,,,,,,,,
21.0,13.0,28.0,,,,,,,,,
27.0,11.0,30.0,,,,,,,,,
31.0,10.0,29.0,,,,,,,,,
22.0,9.0,30.0,,,,,,,,,
21.0,11.0,31.0,,,,,,,,,
32.0,10.0,35.0,,,,,,,,,
27.0,11.0,27.0,,,,,,,,,
28.0,9.0,31.0,,,,,,,,,
21.0,12.0,31.0,,,,,,,,,
29.0,13.0,31.0,,,,,,,,,
30.0,12.0,31.0,,,,,,,,,
26.0,11.0,28.0,,,,,,,,,
27.0,9.0,27.0,,,,,,,,,
18.0,10.0,29.0,,,,,,,,,
21.0,9.0,33.0,,,,,,,,,
28.0,13.0,28.0,,,,,,,,,
21.0,10.0,29.0,,,,,,,,,
31.0,9.0,27.0,,,,,,,,,
30.0,10.0,31.0,,,,,,,,,
17.0,8.0,33.0,,,,,,,,,
24.0,12.0,33.0,,,,,,,,,
19.0,7.0,28.0,,,,,,,,,
27.0,12.0,31.0,,,,,,,,,
27.0,9.0,30.0,,,,,,,,,
30.0,10.0,31.0,,,,,,,,,
28.0,6.0,28.0,,,,,,,,,
20.0,10.0,31.0,,,,,,,,,
27.0,9.0,32.0,,,,,,,,,
34.0,8.0,30.0,,,,,,,,,
23.0,11.0,31.0,,,,,,,,,
31.0,6.0,34.0,,,,,,,,,
25.0,7.0,30.0,,,,,,,,,
21.0,11.0,29.0,,,,,,,,,
18.0,12.0,28.0,,,,,,,,,
28.0,5.0,30.0,,,,,,,,,
26.0,8.0,28.0,,,,,,,,,
23.0,11.0,31.0,,,,,,,,,
24.0,10.0,32.0,,,,,,,,,
21.0,14.0,30.0,,,,,,,,,
24.0,12.0,29.0,,,,,,,,,
20.0,10.0,31.0,,,,,,,,,
23.0,6.0,29.0,,,,,,,,,
22.0,8.0,32.0,,,,,,,,,
19.0,9.0,27.0,,,,,,,,,
29.0,10.0,32.0,,,,,,,,,
34.0,9.0,30.0,,,,,,,,,
21.0,12.0,26.0,,,,,,,,,
27.0,9.0,29.0,,,,,,,,,
35.0,10.0,28.0,,,,,,,,,
24.0,13.0,30.0,,,,,,,,,
19.0,9.0,27.0,,,,,,,,,
18.0,8.0,29.0,,,,,,,,,
25.0,11.0,34.0,,,,,,,,,
24.0,9.0,30.0,,,,,,,,,
28.0,12.0,30.0,,,,,,,,,
12.0,5.0,29.0,,,,,,,,,
19.0,10.0,29.0,,,,,,,,,
16.0,7.0,31.0,,,,,,,,,
27.0,10.0,27.0,,,,,,,,,
31.0,10.0,32.0,,,,,,,,,
29.0,9.0,33.0,,,,,,,,,
23.0,11.0,30.0,,,,,,,,,
17.0,11.0,29.0,,,,,,,,,
28.0,11.0,32.0,,,,,,,,,
34.0,9.0,30.0,,,,,,,,,
18.0,7.0,27.0,,,,,,,,,
31.0,10.0,27.0,,,,,,,,,
39.0,10.0,29.0,,,,,,,,,
20.0,13.0,30.0,,,,,,,,,
22.0,10.0,33.0,,,,,,,,,
34.0,15.0,29.0,,,,,,,,,
20.0,10.0,30.0,,,,,,,,,
33.0,11.0,31.0,,,,,,,,,
19.0,7.0,29.0,,,,,,,,,
14.0,10.0,31.0,,,,,,,,,
24.0,11.0,28.0,,,,,,,,,
24.0,13.0,27.0,,,,,,,,,
14.0,13.0,30.0,,,,,,,,,
30.0,15.0,30.0,,,,,,,,,
27.0,11.0,30.0,,,,,,,,,
19.0,6.0,30.0,,,,,,,,,
21.0,8.0,29.0,,,,,,,,,
26.0,13.0,31.0,,,,,,,,,
22.0,11.0,28.0,,,,,,,,,
22.0,13.0,28.0,,,,,,,,,
24.0,9.0,30.0,,,,,,,,,
27.0,11.0,27.0,,,,,,,,,
23.0,10.0,30.0,,,,,,,,,
23.0,8.0,32.0,,,,,,,,,
33.0,11.0,31.0,,,,,,,,,
30.0,11.0,28.0,,,,,,,,,
16.0,11.0,35.0,,,,,,,,,
26.0,11.0,31.0,,,,,,,,,
35.0,11.0,28.0,,,,,,,,,
18.0,6.0,30.0,,,,,,,,,
21.0,10.0,33.0,,,,,,,,,
21.0,9.0,30.0,,,,,,,,,
24.0,9.0,28.0,,,,,,,,,
27.0,10.0,30.0,,,,,,,,,
18.0,8.0,31.0,,,,,,,,,
26.0,13.0,29.0,,,,,,,,,
22.0,11.0,31.0,,,,,,,,,
19.0,11.0,30.0,,,,,,,,,
30.0,11.0,31.0,,,,,,,,,
25.0,9.0,30.0,,,,,,,,,
19.0,9.0,32.0,,,,,,,,,
25.0,10.0,28.0,,,,,,,,,
32.0,10.0,34.0,,,,,,,,,
26.0,8.0,31.0,,,,,,,,,
23.0,11.0,29.0,,,,,,,,,
28.0,10.0,32.0,,,,,,,,,
31.0,7.0,32.0,,,,,,,,,
25.0,11.0,31.0,,,,,,,,,
25.0,14.0,31.0,,,,,,,,,
17.0,11.0,29.0,,,,,,,,,
28.0,10.0,31.0,,,,,,,,,
19.0,7.0,29.0,,,,,,,,,
22.0,11.0,28.0,,,,,,,,,
26.0,10.0,27.0,,,,,,,,,
23.0,10.0,31.0,,,,,,,,,
25.0,11.0,26.0,,,,,,,,,
24.0,10.0,31.0,,,,,,,,,
25.0,9.0,30.0,,,,,,,,,
22.0,9.0,32.0,,,,,,,,,
15.0,9.0,32.0,,,,,,,,,
21.0,7.0,27.0,,,,,,,,,
23.0,11.0,32.0,,,,,,,,,
28.0,9.0,28.0,,,,,,,,,
31.0,11.0,27.0,,,,,,,,,
28.0,11.0,30.0,,,,,,,,,
14.0,15.0,32.0,,,,,,,,,
21.0,11.0,28.0,,,,,,,,,
38.0,11.0,28.0,,,,,,,,,
18.0,14.0,31.0,,,,,,,,,
32.0,10.0,29.0,,,,,,,,,
29.0,10.0,26.0,,,,,,,,,
23.0,9.0,31.0,,,,,,,,,
19.0,8.0,29.0,,,,,,,,,
32.0,10.0,28.0,,,,,,,,,
25.0,11.0,25.0,,,,,,,,,
22.0,12.0,27.0,,,,,,,,,
26.0,9.0,32.0,,,,,,,,,
21.0,5.0,30.0,,,,,,,,,
25.0,12.0,29.0,,,,,,,,,
23.0,13.0,31.0,,,,,,,,,
28.0,11.0,29.0,,,,,,,,,
28.0,11.0,26.0,,,,,,,,,
35.0,10.0,29.0,,,,,,,,,
25.0,8.0,30.0,,,,,,,,,
35.0,10.0,27.0,,,,,,,,,
24.0,10.0,28.0,,,,,,,,,
29.0,10.0,32.0,,,,,,,,,
31.0,9.0,29.0,,,,,,,,,
33.0,8.0,29.0,,,,,,,,,
25.0,4.0,30.0,,,,,,,,,
24.0,11.0,32.0,,,,,,,,,
25.0,12.0,28.0,,,,,,,,,
31.0,10.0,29.0,,,,,,,,,
26.0,11.0,31.0,,,,,,,,,
16.0,11.0,32.0,,,,,,,,,
34.0,10.0,30.0,,,,,,,,,
36.0,11.0,31.0,,,,,,,,,
28.0,11.0,32.0,,,,,,,,,
23.0,13.0,29.0,,,,,,,,,
24.0,10.0,30.0,,,,,,,,,
28.0,12.0,30.0,,,,,,,,,
29.0,11.0,30.0,,,,,,,,,
22.0,11.0,33.0,,,,,,,,,
33.0,10.0,31.0,,,,,,,,,
30.0,11.0,28.0,,,,,,,,,
34.0,9.0,28.0,,,,,,,,,
19.0,10.0,32.0,,,,,,,,,
27.0,7.0,29.0,,,,,,,,,
13.0,7.0,31.0,,,,,,,,,
38.0,12.0,30.0,,,,,,,,,
22.0,10.0,33.0,,,,,,,,,
31.0,10.0,29.0,,,,,,,,,
28.0,10.0,31.0,,,,,,,,,
33.0,8.0,30.0,,,,,,,,,
22.0,12.0,31.0,,,,,,,,,
22.0,10.0,32.0,,,,,,,,,
24.0,10.0,30.0,,,,,,,,,
32.0,14.0,30.0,,,,,,,,,
30.0,8.0,32.0,,,,,,,,,
23.0,10.0,27.0,,,,,,,,,
