rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
29.0,12.0,30.0,25.0,assets/punish_mean100.jpg,16.8,31.0,22.11,assets/grating_mean100.jpg,23.13,19.91,98.99
33.0,10.0,28.0,24.0,assets/reward_mean100.jpg,26.09,7.0,28.18,assets/grating_mean100.jpg,29.19,35.59,127.38
27.0,13.0,30.0,17.0,assets/punish_mean100.jpg,32.58,30.0,36.63,assets/grating_mean100.jpg,37.63,49.72,162.59
31.0,6.0,28.0,30.0,assets/punish_mean100.jpg,46.51,32.0,52.46,assets/grating_mean100.jpg,53.48,85.81,194.29
17.0,8.0,30.0,18.0,assets/reward_mean100.jpg,57.71,9.0,60.89,assets/grating_mean100.jpg,61.91,,221.31
21.0,9.0,32.0,22.0,assets/reward_mean100.jpg,66.98,12.0,78.21,assets/grating_mean100.jpg,79.23,,
23.0,11.0,29.0,21.0,assets/punish_mean100.jpg,82.9,29.0,85.94,assets/grating_mean100.jpg,86.96,,
23.0,10.0,31.0,23.0,assets/reward_mean100.jpg,89.98,9.0,101.04,assets/grating_mean100.jpg,102.05,,
17.0,11.0,30.0,21.0,assets/punish_mean100.jpg,107.73,27.0,109.93,assets/grating_mean100.jpg,110.95,,
30.0,13.0,29.0,32.0,assets/reward_mean100.jpg,118.36,9.0,130.12,assets/grating_mean100.jpg,131.14,,
25.0,7.0,33.0,18.0,assets/punish_mean100.jpg,133.34,33.0,136.02,assets/grating_mean100.jpg,137.05,,
25.0,10.0,27.0,18.0,assets/punish_mean100.jpg,143.29,28.0,145.51,assets/grating_mean100.jpg,146.52,,
28.0,10.0,28.0,24.0,assets/reward_mean100.jpg,150.58,12.0,166.22,assets/grating_mean100.jpg,167.23,,
28.0,8.0,30.0,30.0,assets/punish_mean100.jpg,171.23,33.0,174.06,assets/grating_mean100.jpg,175.06,,
24.0,15.0,29.0,30.0,assets/reward_mean100.jpg,183.27,11.0,196.21,assets/grating_mean100.jpg,197.23,,
22.0,8.0,27.0,20.0,assets/punish_mean100.jpg,200.09,32.0,202.87,assets/grating_mean100.jpg,203.88,,
