rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,texture_revert,probe_texture_history,probe_time,puff_event,reward_event
15.0,18.0,26.0,12.0,assets/reward_mean100.jpg,11.36,34.0,17.39,,,,12.36
14.0,26.0,29.0,,assets/reward_mean100.jpg,27.98,29.0,35.96,,,,28.99
14.0,20.0,31.0,,assets/reward_mean100.jpg,43.46,26.0,52.92,,,,44.48
18.0,24.0,28.0,,assets/reward_mean100.jpg,62.83,28.0,71.84,,,,63.84
10.0,26.0,30.0,,assets/reward_mean100.jpg,81.48,24.0,90.0,,,,82.49
12.0,29.0,31.0,,assets/reward_mean100.jpg,96.01,26.0,101.53,,,,97.03
13.0,29.0,30.0,,assets/reward_mean100.jpg,106.64,29.0,111.49,,,,107.66
20.0,19.0,31.0,,,,,,,,,
22.0,19.0,29.0,,,,,,,,,
14.0,18.0,29.0,,,,,,,,,
10.0,29.0,33.0,,,,,,,,,
22.0,25.0,28.0,,,,,,,,,
17.0,27.0,31.0,,,,,,,,,
13.0,17.0,28.0,,,,,,,,,
22.0,24.0,34.0,,,,,,,,,
16.0,23.0,29.0,,,,,,,,,
10.0,27.0,31.0,,,,,,,,,
13.0,25.0,29.0,,,,,,,,,
15.0,20.0,25.0,,,,,,,,,
18.0,22.0,35.0,,,,,,,,,
21.0,26.0,31.0,,,,,,,,,
20.0,29.0,30.0,,,,,,,,,
13.0,28.0,31.0,,,,,,,,,
12.0,27.0,30.0,,,,,,,,,
13.0,25.0,27.0,,,,,,,,,
13.0,29.0,29.0,,,,,,,,,
19.0,25.0,32.0,,,,,,,,,
12.0,27.0,32.0,,,,,,,,,
13.0,33.0,29.0,,,,,,,,,
15.0,22.0,30.0,,,,,,,,,
16.0,17.0,28.0,,,,,,,,,
12.0,27.0,27.0,,,,,,,,,
19.0,31.0,32.0,,,,,,,,,
10.0,19.0,29.0,,,,,,,,,
15.0,32.0,35.0,,,,,,,,,
18.0,24.0,28.0,,,,,,,,,
19.0,28.0,31.0,,,,,,,,,
15.0,24.0,29.0,,,,,,,,,
19.0,26.0,33.0,,,,,,,,,
14.0,26.0,31.0,,,,,,,,,
15.0,27.0,32.0,,,,,,,,,
22.0,15.0,29.0,,,,,,,,,
28.0,34.0,31.0,,,,,,,,,
8.0,23.0,29.0,,,,,,,,,
23.0,22.0,32.0,,,,,,,,,
13.0,23.0,31.0,,,,,,,,,
15.0,22.0,29.0,,,,,,,,,
12.0,28.0,29.0,,,,,,,,,
22.0,36.0,33.0,,,,,,,,,
11.0,29.0,35.0,,,,,,,,,
19.0,20.0,31.0,,,,,,,,,
9.0,29.0,30.0,,,,,,,,,
17.0,24.0,28.0,,,,,,,,,
11.0,30.0,29.0,,,,,,,,,
19.0,19.0,31.0,,,,,,,,,
10.0,27.0,31.0,,,,,,,,,
20.0,21.0,31.0,,,,,,,,,
20.0,27.0,29.0,,,,,,,,,
14.0,25.0,32.0,,,,,,,,,
19.0,22.0,32.0,,,,,,,,,
17.0,24.0,30.0,,,,,,,,,
11.0,26.0,32.0,,,,,,,,,
20.0,30.0,29.0,,,,,,,,,
18.0,24.0,30.0,,,,,,,,,
21.0,20.0,33.0,,,,,,,,,
8.0,20.0,31.0,,,,,,,,,
19.0,29.0,30.0,,,,,,,,,
16.0,30.0,29.0,,,,,,,,,
18.0,23.0,29.0,,,,,,,,,
13.0,22.0,33.0,,,,,,,,,
9.0,27.0,29.0,,,,,,,,,
12.0,28.0,33.0,,,,,,,,,
18.0,31.0,29.0,,,,,,,,,
19.0,33.0,32.0,,,,,,,,,
10.0,31.0,27.0,,,,,,,,,
19.0,19.0,28.0,,,,,,,,,
20.0,18.0,29.0,,,,,,,,,
19.0,26.0,32.0,,,,,,,,,
17.0,24.0,31.0,,,,,,,,,
15.0,22.0,29.0,,,,,,,,,
22.0,25.0,29.0,,,,,,,,,
13.0,28.0,28.0,,,,,,,,,
18.0,28.0,31.0,,,,,,,,,
15.0,21.0,27.0,,,,,,,,,
16.0,17.0,29.0,,,,,,,,,
19.0,22.0,29.0,,,,,,,,,
15.0,28.0,27.0,,,,,,,,,
18.0,22.0,33.0,,,,,,,,,
12.0,26.0,31.0,,,,,,,,,
19.0,30.0,31.0,,,,,,,,,
12.0,19.0,28.0,,,,,,,,,
17.0,29.0,27.0,,,,,,,,,
15.0,16.0,32.0,,,,,,,,,
20.0,32.0,27.0,,,,,,,,,
10.0,29.0,30.0,,,,,,,,,
13.0,22.0,25.0,,,,,,,,,
10.0,25.0,28.0,,,,,,,,,
15.0,21.0,29.0,,,,,,,,,
17.0,28.0,31.0,,,,,,,,,
19.0,18.0,28.0,,,,,,,,,
18.0,22.0,30.0,,,,,,,,,
14.0,28.0,31.0,,,,,,,,,
10.0,19.0,32.0,,,,,,,,,
13.0,26.0,28.0,,,,,,,,,
17.0,20.0,28.0,,,,,,,,,
16.0,24.0,30.0,,,,,,,,,
15.0,27.0,31.0,,,,,,,,,
25.0,18.0,32.0,,,,,,,,,
14.0,16.0,31.0,,,,,,,,,
17.0,22.0,32.0,,,,,,,,,
9.0,26.0,28.0,,,,,,,,,
11.0,27.0,30.0,,,,,,,,,
25.0,23.0,30.0,,,,,,,,,
10.0,23.0,29.0,,,,,,,,,
15.0,17.0,27.0,,,,,,,,,
19.0,26.0,33.0,,,,,,,,,
19.0,30.0,29.0,,,,,,,,,
15.0,18.0,30.0,,,,,,,,,
12.0,25.0,29.0,,,,,,,,,
23.0,28.0,33.0,,,,,,,,,
12.0,27.0,30.0,,,,,,,,,
13.0,29.0,31.0,,,,,,,,,
13.0,17.0,28.0,,,,,,,,,
16.0,23.0,32.0,,,,,,,,,
13.0,23.0,31.0,,,,,,,,,
20.0,26.0,27.0,,,,,,,,,
14.0,27.0,31.0,,,,,,,,,
12.0,16.0,29.0,,,,,,,,,
9.0,37.0,26.0,,,,,,,,,
20.0,27.0,29.0,,,,,,,,,
20.0,31.0,28.0,,,,,,,,,
21.0,19.0,31.0,,,,,,,,,
17.0,27.0,31.0,,,,,,,,,
20.0,35.0,31.0,,,,,,,,,
15.0,32.0,32.0,,,,,,,,,
15.0,26.0,29.0,,,,,,,,,
19.0,28.0,29.0,,,,,,,,,
15.0,20.0,29.0,,,,,,,,,
13.0,15.0,32.0,,,,,,,,,
11.0,18.0,34.0,,,,,,,,,
14.0,28.0,30.0,,,,,,,,,
23.0,30.0,31.0,,,,,,,,,
15.0,17.0,29.0,,,,,,,,,
9.0,25.0,26.0,,,,,,,,,
9.0,22.0,32.0,,,,,,,,,
18.0,19.0,27.0,,,,,,,,,
26.0,27.0,30.0,,,,,,,,,
19.0,22.0,32.0,,,,,,,,,
14.0,19.0,33.0,,,,,,,,,
12.0,25.0,28.0,,,,,,,,,
16.0,28.0,27.0,,,,,,,,,
14.0,22.0,28.0,,,,,,,,,
10.0,23.0,31.0,,,,,,,,,
19.0,20.0,29.0,,,,,,,,,
18.0,20.0,31.0,,,,,,,,,
15.0,25.0,29.0,,,,,,,,,
23.0,36.0,29.0,,,,,,,,,
12.0,25.0,27.0,,,,,,,,,
20.0,25.0,32.0,,,,,,,,,
13.0,23.0,31.0,,,,,,,,,
16.0,31.0,32.0,,,,,,,,,
16.0,25.0,28.0,,,,,,,,,
15.0,34.0,29.0,,,,,,,,,
16.0,21.0,28.0,,,,,,,,,
16.0,25.0,31.0,,,,,,,,,
17.0,34.0,29.0,,,,,,,,,
12.0,24.0,29.0,,,,,,,,,
9.0,28.0,32.0,,,,,,,,,
16.0,26.0,29.0,,,,,,,,,
16.0,30.0,28.0,,,,,,,,,
12.0,27.0,30.0,,,,,,,,,
13.0,21.0,27.0,,,,,,,,,
17.0,39.0,32.0,,,,,,,,,
13.0,23.0,29.0,,,,,,,,,
20.0,29.0,28.0,,,,,,,,,
16.0,28.0,30.0,,,,,,,,,
16.0,31.0,28.0,,,,,,,,,
18.0,28.0,31.0,,,,,,,,,
16.0,32.0,33.0,,,,,,,,,
16.0,27.0,31.0,,,,,,,,,
14.0,22.0,29.0,,,,,,,,,
9.0,19.0,30.0,,,,,,,,,
14.0,20.0,32.0,,,,,,,,,
13.0,21.0,31.0,,,,,,,,,
11.0,23.0,31.0,,,,,,,,,
14.0,24.0,29.0,,,,,,,,,
23.0,33.0,32.0,,,,,,,,,
14.0,24.0,27.0,,,,,,,,,
14.0,27.0,30.0,,,,,,,,,
14.0,25.0,30.0,,,,,,,,,
17.0,25.0,28.0,,,,,,,,,
16.0,25.0,31.0,,,,,,,,,
10.0,16.0,30.0,,,,,,,,,
21.0,28.0,29.0,,,,,,,,,
12.0,22.0,31.0,,,,,,,,,
9.0,24.0,29.0,,,,,,,,,
22.0,22.0,34.0,,,,,,,,,
14.0,17.0,31.0,,,,,,,,,
15.0,33.0,30.0,,,,,,,,,
24.0,24.0,28.0,,,,,,,,,
14.0,28.0,29.0,,,,,,,,,
18.0,24.0,32.0,,,,,,,,,
16.0,22.0,29.0,,,,,,,,,
16.0,23.0,32.0,,,,,,,,,
12.0,24.0,33.0,,,,,,,,,
12.0,19.0,29.0,,,,,,,,,
20.0,32.0,28.0,,,,,,,,,
19.0,17.0,31.0,,,,,,,,,
22.0,24.0,31.0,,,,,,,,,
19.0,19.0,30.0,,,,,,,,,
25.0,34.0,30.0,,,,,,,,,
17.0,34.0,29.0,,,,,,,,,
11.0,21.0,29.0,,,,,,,,,
16.0,25.0,34.0,,,,,,,,,
16.0,20.0,29.0,,,,,,,,,
21.0,26.0,31.0,,,,,,,,,
18.0,31.0,32.0,,,,,,,,,
9.0,26.0,29.0,,,,,,,,,
16.0,20.0,31.0,,,,,,,,,
12.0,15.0,27.0,,,,,,,,,
13.0,16.0,26.0,,,,,,,,,
19.0,29.0,31.0,,,,,,,,,
12.0,31.0,32.0,,,,,,,,,
15.0,29.0,27.0,,,,,,,,,
19.0,23.0,30.0,,,,,,,,,
12.0,31.0,28.0,,,,,,,,,
11.0,22.0,30.0,,,,,,,,,
23.0,29.0,32.0,,,,,,,,,
21.0,19.0,31.0,,,,,,,,,
10.0,30.0,31.0,,,,,,,,,
23.0,17.0,31.0,,,,,,,,,
19.0,18.0,29.0,,,,,,,,,
11.0,26.0,25.0,,,,,,,,,
16.0,29.0,29.0,,,,,,,,,
19.0,30.0,32.0,,,,,,,,,
18.0,22.0,28.0,,,,,,,,,
17.0,27.0,33.0,,,,,,,,,
14.0,34.0,30.0,,,,,,,,,
24.0,29.0,28.0,,,,,,,,,
22.0,34.0,30.0,,,,,,,,,
21.0,34.0,31.0,,,,,,,,,
19.0,32.0,30.0,,,,,,,,,
11.0,19.0,26.0,,,,,,,,,
16.0,24.0,28.0,,,,,,,,,
9.0,30.0,32.0,,,,,,,,,
10.0,22.0,30.0,,,,,,,,,
17.0,22.0,28.0,,,,,,,,,
14.0,30.0,31.0,,,,,,,,,
18.0,28.0,31.0,,,,,,,,,
13.0,17.0,32.0,,,,,,,,,
